"","X","CustomerID","TransactionDate","Amount","ProductCategory","Month_Yr","Yr","Month","Day"
"1",1,5932,2022-03-04,293.21,"Suite","2022-03","2022","03","04"
"2",2,2486,2023-02-24,461.83,"Specialty Suite","2023-02","2023","02","24"
"3",3,2098,2022-11-05,438.01,"Suite","2022-11","2022","11","05"
"4",4,794,2024-02-08,377.55,"Premier","2024-02","2024","02","08"
"5",5,7460,2022-04-05,347.21,"Specialty Suite","2022-04","2022","04","05"
"6",6,6641,2024-05-12,433.91,"Suite","2024-05","2024","05","12"
"7",7,326,2022-10-31,331.07,"Specialty Suite","2022-10","2022","10","31"
"8",8,7654,2022-08-03,294.19,"Premier","2022-08","2022","08","03"
"9",9,3034,2022-06-15,451.88,"Suite","2022-06","2022","06","15"
"10",10,991,2023-06-16,369.55,"Specialty Suite","2023-06","2023","06","16"
"11",11,111,2024-06-07,296.31,"Specialty Suite","2024-06","2024","06","07"
"12",12,63,2022-11-17,390.49,"Specialty Suite","2022-11","2022","11","17"
"13",13,551,2023-03-23,299.05,"Specialty Suite","2023-03","2023","03","23"
"14",14,7745,2023-12-03,460.5,"Suite","2023-12","2023","12","03"
"15",15,2253,2020-03-29,356.83,"Premier","2020-03","0029","03","20"
"16",16,2742,2020-03-27,335.86,"Specialty Suite","2020-03","0027","03","20"
"17",17,3736,2024-05-08,243.67,"Premier","2024-05","2024","05","08"
"18",18,1666,2022-11-05,289.56,"Standard","2022-11","2022","11","05"
"19",19,1042,2022-10-07,315.77,"Premier","2022-10","2022","10","07"
"20",20,2583,2022-05-02,280.6,"Standard","2022-05","2022","05","02"
"21",21,3029,2024-07-26,280.92,"Premier","2024-07","2024","07","26"
"22",22,5841,2022-04-27,484.58,"Suite","2022-04","2022","04","27"
"23",23,7365,2022-07-08,373.8,"Standard","2022-07","2022","07","08"
"24",24,4095,2022-05-20,494.2,"Presidential","2022-05","2022","05","20"
"25",25,2004,2023-07-20,187.37,"Suite","2023-07","2023","07","20"
"26",26,2269,2023-12-30,493.71,"Suite","2023-12","2023","12","30"
"27",27,692,2022-09-08,265.34,"Premier","2022-09","2022","09","08"
"28",28,914,2023-04-15,330.96,"Standard","2023-04","2023","04","15"
"29",29,5990,2023-01-31,239.41,"Suite","2023-01","2023","01","31"
"30",30,3682,2022-01-11,345.9,"Standard","2022-01","2022","01","11"
"31",31,3685,2022-03-14,321.23,"Premier","2022-03","2022","03","14"
"32",32,6090,2024-05-01,378.05,"Specialty Suite","2024-05","2024","05","01"
