"","CustomerID","X.1","X","TransactionDate","Amount","ProductCategory","Month_Yr","Yr","Month","Day","Month_Yr_graph","final_category","HighValue"
"1",2,6448,6507,2024-07-31,418.93,"Presidential","2024-07","2024","07",31,2024-07-01,"Silver","0"
"2",2,143,144,2022-07-19,473.61,"Specialty Suite","2022-07","2022","07",19,2022-07-01,"Silver","0"
"3",3,11726,11842,2022-07-17,262.39,"Standard","2022-07","2022","07",17,2022-07-01,"Silver","0"
"4",3,13730,13866,2024-02-21,331.31,"Specialty Suite","2024-02","2024","02",21,2024-02-01,"Silver","0"
"5",3,8761,8844,2024-01-26,399.14,"Specialty Suite","2024-01","2024","01",26,2024-01-01,"Silver","0"
"6",4,6301,6359,2023-06-15,289.49,"Premier","2023-06","2023","06",15,2023-06-01,"Silver","1"
"7",4,7192,7260,2023-09-13,264.28,"Premier","2023-09","2023","09",13,2023-09-01,"Silver","1"
"8",4,8785,8868,2024-07-26,188.97,"Specialty Suite","2024-07","2024","07",26,2024-07-01,"Silver","1"
"9",4,2431,2454,2022-02-08,429.39,"Suite","2022-02","2022","02",8,2022-02-01,"Silver","1"
"10",4,7006,7072,2022-02-24,466.78,"Suite","2022-02","2022","02",24,2022-02-01,"Silver","1"
"11",5,4212,4249,2022-04-04,362.75,"Standard","2022-04","2022","04",4,2022-04-01,"Bronze","0"
"12",7,1464,1474,2023-06-16,406.65,"Specialty Suite","2023-06","2023","06",16,2023-06-01,"Silver","0"
"13",7,8803,8888,2024-04-30,359.6,"Specialty Suite","2024-04","2024","04",30,2024-04-01,"Silver","0"
"14",7,7947,8022,2022-03-18,227.25,"Premier","2022-03","2022","03",18,2022-03-01,"Silver","0"
"15",9,767,773,2022-06-09,382.71,"Specialty Suite","2022-06","2022","06",9,2022-06-01,"Silver","0"
"16",9,9452,9540,2024-06-18,287.2,"Premier","2024-06","2024","06",18,2024-06-01,"Silver","0"
"17",10,178,180,2024-03-08,232.25,"Specialty Suite","2024-03","2024","03",8,2024-03-01,"Silver","0"
"18",10,1714,1726,2023-08-19,354.89,"Specialty Suite","2023-08","2023","08",19,2023-08-01,"Silver","0"
"19",11,4016,4052,2022-01-22,221.25,"Specialty Suite","2022-01","2022","01",22,2022-01-01,"Silver","0"
"20",11,14515,14661,2022-01-19,252.39,"Specialty Suite","2022-01","2022","01",19,2022-01-01,"Silver","0"
"21",13,8543,8625,2023-01-12,302.45,"Premier","2023-01","2023","01",12,2023-01-01,"Bronze","0"
"22",14,6599,6660,2022-05-26,361.18,"Standard","2022-05","2022","05",26,2022-05-01,"Silver","1"
"23",14,6758,6821,2023-08-03,233.67,"Suite","2023-08","2023","08",3,2023-08-01,"Silver","1"
"24",14,8003,8079,2022-03-11,315.41,"Standard","2022-03","2022","03",11,2022-03-01,"Silver","1"
"25",14,1268,1278,2023-10-07,482.96,"Suite","2023-10","2023","10",7,2023-10-01,"Silver","1"
"26",14,3017,3046,2023-06-13,377.4,"Premier","2023-06","2023","06",13,2023-06-01,"Silver","1"
"27",15,8090,8166,2023-07-30,273.85,"Specialty Suite","2023-07","2023","07",30,2023-07-01,"Silver","0"
"28",15,10358,10458,2022-07-26,439.43,"Specialty Suite","2022-07","2022","07",26,2022-07-01,"Silver","0"
"29",16,8509,8590,2023-09-24,317.62,"Premier","2023-09","2023","09",24,2023-09-01,"Silver","0"
"30",16,649,654,2023-03-31,387.2,"Specialty Suite","2023-03","2023","03",31,2023-03-01,"Silver","0"
"31",16,2163,2181,2023-10-19,351.15,"Standard","2023-10","2023","10",19,2023-10-01,"Silver","0"
"32",17,11829,11946,2022-12-07,394.3,"Specialty Suite","2022-12","2022","12",7,2022-12-01,"Silver","0"
"33",17,14760,14909,2024-06-01,300.1,"Standard","2024-06","2024","06",1,2024-06-01,"Silver","0"
"34",17,6406,6464,2022-06-26,364.93,"Specialty Suite","2022-06","2022","06",26,2022-06-01,"Silver","0"
"35",19,9350,9438,2024-04-08,393.57,"Standard","2024-04","2024","04",8,2024-04-01,"Silver","0"
"36",19,10796,10900,2020-12-06,482.65,"Suite","2020-12","2020","12",20,2020-12-01,"Silver","0"
"37",19,6638,6699,2023-12-08,419.56,"Suite","2023-12","2023","12",8,2023-12-01,"Silver","0"
"38",20,14800,14949,2023-03-24,317.21,"Standard","2023-03","2023","03",24,2023-03-01,"Silver","0"
"39",20,10255,10352,2022-09-18,385.45,"Specialty Suite","2022-09","2022","09",18,2022-09-01,"Silver","0"
"40",21,11811,11928,2022-02-02,378.58,"Standard","2022-02","2022","02",2,2022-02-01,"Bronze","0"
"41",22,13488,13622,2022-11-04,440.86,"Specialty Suite","2022-11","2022","11",4,2022-11-01,"Bronze","0"
