"","CustomerID","X.1","X","TransactionDate","Amount","ProductCategory","Month_Yr","Yr","Month","Day","Month_Yr_graph","final_category","HighValue"
"7452",3995,1466,1476,2022-05-29,335.74,"Specialty Suite","2022-05","2022","05",29,2022-05-01,"Bronze","No"
"8016",4315,3467,3497,2023-12-13,361.3,"Premier","2023-12","2023","12",13,2023-12-01,"Silver","Yes"
"7162",3857,1515,1525,2020-01-26,306.55,"Specialty Suite","2020-01","2020","01",20,2020-01-01,"Silver","Yes"
"8086",4355,13619,13754,2023-04-17,363.63,"Premier","2023-04","2023","04",17,2023-04-01,"Silver","No"
"7269",3907,3585,3615,2023-10-16,360.24,"Specialty Suite","2023-10","2023","10",16,2023-10-01,"Silver","Yes"
"9196",4935,1556,1566,2024-01-24,305.16,"Specialty Suite","2024-01","2024","01",24,2024-01-01,"Silver","No"
"623",323,6579,6640,2024-07-03,326.95,"Premier","2024-07","2024","07",3,2024-07-01,"Silver","No"
"10885",5827,3162,3191,2022-11-19,314.85,"Standard","2022-11","2022","11",19,2022-11-01,"Silver","No"
"934",495,11585,11701,2023-02-17,346.63,"Standard","2023-02","2023","02",17,2023-02-01,"Bronze","No"
"12688",6813,14005,14146,2023-03-10,324,"Standard","2023-03","2023","03",10,2023-03-01,"Silver","No"
"2948",1556,2862,2889,2022-08-06,337.8,"Specialty Suite","2022-08","2022","08",6,2022-08-01,"Silver","No"
"2146",1131,10027,10121,2022-12-21,304.5,"Premier","2022-12","2022","12",21,2022-12-01,"Silver","No"
"11367",6075,12799,12928,2023-07-13,475.94,"Premier","2023-07","2023","07",13,2023-07-01,"Silver","No"
"2774",1473,4665,4706,2023-09-15,329.33,"Standard","2023-09","2023","09",15,2023-09-01,"Silver","No"
"5722",3042,11644,11760,2022-02-28,508.67,"Specialty Suite","2022-02","2022","02",28,2022-02-01,"Silver","No"
"2374",1248,571,575,2022-03-31,409.82,"Suite","2022-03","2022","03",31,2022-03-01,"Silver","No"
"1103",582,13024,13155,2022-10-26,442.93,"Premier","2022-10","2022","10",26,2022-10-01,"Silver","No"
"12238",6556,1751,1763,2023-09-06,436.65,"Suite","2023-09","2023","09",6,2023-09-01,"Silver","Yes"
"4366",2305,13962,14102,2024-01-06,324.81,"Specialty Suite","2024-01","2024","01",6,2024-01-01,"Bronze","No"
"3454",1826,5472,5522,2023-08-13,373.64,"Specialty Suite","2023-08","2023","08",13,2023-08-01,"Silver","Yes"
"10424",5592,5301,5348,2022-08-15,425.33,"Specialty Suite","2022-08","2022","08",15,2022-08-01,"Silver","No"
"2622",1382,2134,2152,2023-09-22,322.51,"Specialty Suite","2023-09","2023","09",22,2023-09-01,"Silver","No"
"14340",7705,7135,7202,2023-10-10,142.27,"Premier","2023-10","2023","10",10,2023-10-01,"Silver","No"
"3972",2104,4203,4240,2022-10-22,279.85,"Specialty Suite","2022-10","2022","10",22,2022-10-01,"Silver","No"
"1685",902,595,600,2022-02-06,318.3,"Specialty Suite","2022-02","2022","02",6,2022-02-01,"Bronze","No"
