"","CustomerID","TransactionDate","Amount","ProductCategory"
"1",5932,2022-03-04,293.21,"Suite"
"2",2486,2023-02-24,461.83,"Specialty Suite"
"3",2098,2022-11-05,438.01,"Suite"
"4",794,2024-02-08,377.55,"Premier"
"5",7460,2022-04-05,347.21,"Specialty Suite"
"6",6641,2024-05-12,433.91,"Suite"
"7",326,2022-10-31,331.07,"Specialty Suite"
"8",7654,2022-08-03,294.19,"Premier"
"9",3034,2022-06-15,451.88,"Suite"
"10",991,2023-06-16,369.55,"Specialty Suite"
"11",111,2024-06-07,296.31,"Specialty Suite"
"12",63,2022-11-17,390.49,"Specialty Suite"
"13",551,2023-03-23,299.05,"Specialty Suite"
"14",7745,2023-12-03,460.5,"Suite"
"15",2253,29-03-20,356.83,"Premier"
"16",2742,27-03-20,335.86,"Specialty Suite"
"17",3736,2024-05-08,243.67,"Premier"
"18",1666,2022-11-05,289.56,"Standard"
"19",1042,2022-10-07,315.77,"Premier"
"20",2583,2022-05-02,280.6,"Standard"
"21",3029,2024-07-26,280.92,"Premier"
"22",5841,2022-04-27,484.58,"Suite"
"23",7365,2022-07-08,373.8,NA
"24",4095,2022-05-20,494.2,"Presidential"
"25",2004,2023-07-20,187.37,"Suite"
"26",2269,2023-12-30,493.71,"Suite"
"27",692,2022-09-08,265.34,"Premier"
"28",914,2023-04-15,330.96,"Standard"
"29",5990,2023-01-31,239.41,"Suite"
"30",3682,2022-01-11,345.9,NA
"31",3685,2022-03-14,321.23,"Premier"
"32",6090,2024-05-01,378.05,"Specialty Suite"
"33",7153,2022-10-17,337.52,"Standard"
"34",2812,2022-12-29,227.91,"Premier"
"35",1716,2022-01-27,381.45,NA
"36",2931,2023-01-06,333.2,"Specialty Suite"
"37",7437,2022-06-16,338.77,"Specialty Suite"
"38",1530,10-12-20,332.69,"Premier"
"39",1202,2023-11-24,274.38,"Suite"
"40",3672,2022-03-08,455.29,"Premier"
"41",4848,2023-03-04,NA,"Standard"
"42",65,2024-03-25,325.89,"Specialty Suite"
"43",778,2022-01-11,321.35,"Standard"
"44",7287,2023-07-17,446.7,"Suite"
"45",5204,2023-12-29,270.72,"Premier"
"46",2746,2023-05-28,358.62,"Specialty Suite"
"47",1204,2023-05-01,512.13,"Specialty Suite"
"48",4043,2024-04-10,368.62,"Premier"
"49",5367,2023-05-19,380,"Premier"
"50",7149,2022-10-07,271.66,"Premier"
"51",1848,2022-01-09,311.93,"Premier"
"52",1609,2023-07-26,437.39,"Suite"
"53",1825,2023-11-21,383.06,"Premier"
"54",7369,2023-04-12,314.26,"Standard"
"55",4392,2023-09-22,235.96,"Suite"
"56",5590,2024-01-15,410.89,"Suite"
"57",7975,2023-03-12,327.18,NA
"58",909,2024-05-10,266.31,"Specialty Suite"
"59",3546,2024-02-05,298.86,"Suite"
"60",7900,2022-12-23,359.37,"Suite"
"61",6449,2022-03-02,NA,"Specialty Suite"
"62",5632,2022-02-20,255.24,"Standard"
"63",4687,2022-01-29,433.06,"Standard"
"64",5960,2022-10-11,296.94,"Standard"
"65",4356,2023-02-16,394.95,"Premier"
"66",3605,2024-04-22,414.59,"Suite"
"67",7035,2024-02-05,290.92,"Standard"
"68",2473,14-05-20,459.59,"Standard"
"69",3820,2023-03-24,346,"Premier"
"70",3316,2023-09-06,338.95,"Specialty Suite"
"71",6390,2022-08-27,298.96,"Suite"
"72",4598,2023-12-16,360.5,"Specialty Suite"
"73",7341,2024-05-10,307.79,"Specialty Suite"
"74",6946,2024-06-27,361.97,"Standard"
"75",4748,2023-09-03,378.33,"Specialty Suite"
"76",5389,2023-01-10,360.96,"Premier"
"77",1188,2023-06-16,373.62,"Standard"
"78",7927,20-06-20,275.46,"Premier"
"79",944,2022-02-14,NA,"Suite"
"80",2895,2024-01-16,495.5,"Specialty Suite"
"81",5441,2023-09-19,302.32,"Premier"
"82",7618,2023-02-24,378.32,"Standard"
"83",6268,2024-05-09,457.91,"Suite"
"84",7345,2022-05-11,343.98,"Premier"
"85",5634,2024-02-03,440.78,"Suite"
"86",3962,2024-06-24,319.02,NA
"87",5119,3-10-20,249.29,"Specialty Suite"
"88",5409,2022-03-11,392.31,"Specialty Suite"
"89",192,2022-03-17,424.86,"Suite"
"90",1100,2024-02-05,251.14,"Premier"
"91",7536,2022-08-16,252.09,"Specialty Suite"
"92",6039,2022-09-22,355.4,"Specialty Suite"
"93",2606,2023-02-18,403.13,"Premier"
"94",4214,2023-08-14,265.73,"Specialty Suite"
"95",6426,28-04-20,316.79,"Premier"
"96",3264,2023-07-06,286.9,"Premier"
"97",4143,2022-09-07,236.65,"Suite"
"98",990,2024-04-07,400.13,"Suite"
"99",7553,2024-07-18,260.24,"Premier"
"100",5852,2022-05-17,281.22,"Specialty Suite"
"101",1785,2022-01-17,346.55,"Suite"
"102",711,2022-01-10,NA,"Premier"
"103",975,2022-09-15,488.56,NA
"104",3967,2023-05-04,288.85,"Specialty Suite"
"105",6112,2024-01-04,384.38,"Standard"
"106",6276,2022-07-28,316.59,"Standard"
"107",3669,2023-08-30,320.86,"Standard"
"108",519,2023-09-11,411.67,"Specialty Suite"
"109",6321,2023-06-25,364.82,"Premier"
"110",2621,2022-04-21,366.16,"Specialty Suite"
"112",3624,2023-02-28,469.95,"Specialty Suite"
"113",5416,2022-08-08,337.35,"Suite"
"114",3280,2022-05-07,374.75,"Standard"
"115",1986,2023-04-18,406.34,"Premier"
"116",625,2024-04-20,317.18,"Premier"
"117",2261,2022-08-12,283.23,"Premier"
"118",5300,2024-02-29,NA,"Standard"
"119",7186,2022-01-10,462.91,"Suite"
"120",7462,7-01-20,283.1,"Standard"
"121",2243,2023-03-20,333.78,"Premier"
"122",390,2022-08-13,329.56,"Suite"
"123",3899,2022-11-19,349.19,"Specialty Suite"
"124",1699,2023-01-26,305.98,"Specialty Suite"
"125",7623,2023-11-23,364.63,"Specialty Suite"
"126",3723,2023-05-09,365.54,"Premier"
